Customer_id,Tenure,Monthly_charges,Total_charges,Contract,Payment_method,Internet_service,Tech_support,Online_security,Support_calls,Churn,Tenure_category,Consumption_category,Support_calls_category,Churn_predict,Probability,Risc_seg
16,21,29.51,619.71,Month-to-month,Upi,Dsl,No,No,1,0,Adapting (12-24),Medium,Stable(0-2),0,0.14902586087659445,Low
17,33,33.69,1111.77,Month-to-month,Cash,Fiber,No,No,1,0,Stable (24-36),Medium,Stable(0-2),0,0.15684916518189376,Low
18,58,99.28,5758.24,One year,Credit,Fiber,No,No,2,0,Loyal (36-60),High,Stable(0-2),0,0.2987662117856157,Low
19,22,63.58,1398.76,Month-to-month,Debit,Dsl,No,Yes,1,0,Adapting (12-24),Medium,Stable(0-2),0,0.12307705917928778,Low
20,49,33.19,1626.31,Two year,Debit,Fiber,Yes,Yes,0,0,Loyal (36-60),Medium,Stable(0-2),0,0.13463643084295804,Low
21,59,54.03,3187.77,Two year,Credit,Fiber,No,Yes,0,0,Loyal (36-60),Medium,Stable(0-2),0,0.14681897442364153,Low
22,42,71.42,2999.64,One year,Credit,Fiber,No,No,0,0,Loyal (36-60),High,Stable(0-2),0,0.18491598895144462,Low
23,60,105.21,6312.6,Two year,Credit,Fiber,Yes,Yes,3,0,Veteran (+60),High,Atention(2-4),0,0.25041144247067487,Low
24,15,84.17,1262.55,Month-to-month,Credit,Fiber,No,Yes,1,1,Adapting (12-24),High,Stable(0-2),1,0.7214385818064889,High
25,62,37.6,2331.2,Month-to-month,Cash,Dsl,No,No,1,0,Veteran (+60),Medium,Stable(0-2),0,0.15296225414809647,Low
26,62,35.87,2223.94,Month-to-month,Debit,Dsl,Yes,Yes,1,0,Veteran (+60),Medium,Stable(0-2),0,0.13044737180427854,Low
27,47,61.23,2877.81,Two year,Upi,Dsl,No,No,0,0,Loyal (36-60),Medium,Stable(0-2),0,0.17588270797023395,Low
28,62,27.52,1706.24,Month-to-month,Credit,Fiber,No,No,3,1,Veteran (+60),Medium,Atention(2-4),1,0.6954786246627066,Medium
29,51,95.56,4873.56,Month-to-month,Upi,Dsl,No,No,3,1,Loyal (36-60),High,Atention(2-4),1,0.8781046720595809,High
30,55,60.15,3308.25,Two year,Upi,Fiber,No,No,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.12782650036251353,Low
31,64,54.3,3475.2,One year,Upi,Dsl,No,Yes,3,0,Veteran (+60),Medium,Atention(2-4),0,0.18921709411166104,Low
32,3,70.91,212.73,Month-to-month,Cash,Fiber,No,No,3,1,New (0-12),High,Atention(2-4),1,0.8800982234400055,High
33,51,90.9,4635.9,Month-to-month,Credit,Unknow,No,No,6,1,Loyal (36-60),High,Critic(4+),1,0.8491213452885603,High
34,7,76.93,538.51,Month-to-month,Upi,Fiber,No,Yes,2,0,New (0-12),High,Stable(0-2),0,0.22623541541376924,Low
35,21,100.24,2105.04,Month-to-month,Upi,Fiber,No,Yes,3,1,Adapting (12-24),High,Atention(2-4),1,0.8257751068267222,High
36,39,82.94,3234.66,Month-to-month,Debit,Dsl,No,Yes,0,0,Loyal (36-60),High,Stable(0-2),1,0.7173521590805876,High
37,18,98.8,1778.4,Month-to-month,Credit,Dsl,No,Yes,2,1,Adapting (12-24),High,Stable(0-2),1,0.7159773890989833,High
38,4,89.68,358.72,Month-to-month,Cash,Fiber,No,No,4,1,New (0-12),High,Atention(2-4),1,0.8761667748608073,High
39,60,39.31,2358.6,Month-to-month,Credit,Fiber,No,No,1,0,Veteran (+60),Medium,Stable(0-2),0,0.18141575729508833,Low
40,14,25.24,353.36,Month-to-month,Credit,Fiber,Yes,No,0,0,Adapting (12-24),Medium,Stable(0-2),0,0.11748648435304261,Low
41,9,110.34,993.06,One year,Credit,Fiber,Yes,Yes,0,0,New (0-12),High,Stable(0-2),0,0.16241518158486148,Low
42,53,114.57,6072.21,Month-to-month,Credit,Fiber,Yes,Yes,1,0,Loyal (36-60),High,Stable(0-2),0,0.24456813840150507,Low
43,2,92.69,185.38,Month-to-month,Debit,Fiber,Yes,Yes,1,0,New (0-12),High,Stable(0-2),1,0.8840984392932527,High
44,60,92.42,5545.2,Month-to-month,Upi,Fiber,Yes,No,1,0,Veteran (+60),High,Stable(0-2),0,0.2297811436686392,Low
45,71,47.01,3337.71,Two year,Debit,Fiber,Yes,No,1,0,Veteran (+60),Medium,Stable(0-2),0,0.11254307292294231,Low
46,44,74.24,3266.56,Two year,Cash,Unknow,No,No,1,0,Loyal (36-60),High,Stable(0-2),0,0.12795035436061453,Low
47,8,119.22,953.76,Month-to-month,Upi,Dsl,No,Yes,0,1,New (0-12),High,Stable(0-2),1,0.7357962906823707,High
48,47,105.61,4963.67,Two year,Credit,Fiber,No,No,2,0,Loyal (36-60),High,Stable(0-2),0,0.296525608741948,Low
49,35,50.44,1765.4,Month-to-month,Debit,Dsl,No,No,1,0,Stable (24-36),Medium,Stable(0-2),0,0.15705585127191862,Low
50,36,50.1,1803.6,Month-to-month,Credit,Fiber,No,No,3,1,Loyal (36-60),Medium,Atention(2-4),1,0.7006839757423039,High
51,50,68.36,3418.0,Month-to-month,Credit,Dsl,Yes,No,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.12912913400179765,Low
52,4,60.46,241.84,Month-to-month,Cash,Dsl,No,Yes,1,1,New (0-12),Medium,Stable(0-2),1,0.7482331364969079,High
53,2,57.12,114.24,One year,Upi,Dsl,No,No,1,1,New (0-12),Medium,Stable(0-2),0,0.3558142656678924,Medium
54,6,82.7,496.2,Month-to-month,Cash,Fiber,No,No,0,1,New (0-12),High,Stable(0-2),1,0.7407573514820763,High
55,54,21.15,1142.1,One year,Cash,Fiber,No,Yes,0,0,Loyal (36-60),Medium,Stable(0-2),0,0.16751420114185797,Low
56,4,96.33,385.32,Month-to-month,Upi,Dsl,Yes,Yes,1,1,New (0-12),High,Stable(0-2),1,0.8180093549577603,High
57,54,94.01,5076.54,Month-to-month,Cash,Fiber,No,Yes,2,0,Loyal (36-60),High,Stable(0-2),1,0.7211655422031733,High
58,63,103.03,6490.89,Month-to-month,Upi,Unknow,No,No,1,1,Veteran (+60),High,Stable(0-2),1,0.7396135682131744,High
59,18,104.15,1874.7,Month-to-month,Cash,Fiber,No,Yes,3,1,Adapting (12-24),High,Atention(2-4),1,0.8422488572931929,High
60,44,76.64,3372.16,One year,Debit,Dsl,Yes,No,4,0,Loyal (36-60),High,Atention(2-4),0,0.1611127467663671,Low
61,34,98.01,3332.34,One year,Upi,Fiber,No,Yes,3,1,Stable (24-36),High,Atention(2-4),1,0.8439913604424715,High
62,62,69.24,4292.88,Month-to-month,Credit,Dsl,No,No,1,0,Veteran (+60),Medium,Stable(0-2),0,0.16460263931946637,Low
63,14,115.15,1612.1,Month-to-month,Cash,Fiber,No,No,1,1,Adapting (12-24),High,Stable(0-2),1,0.7189577293412833,High
64,48,39.07,1875.36,Month-to-month,Cash,Dsl,No,No,3,1,Loyal (36-60),Medium,Atention(2-4),1,0.7557083178695932,High
65,15,111.56,1673.4,Two year,Upi,Dsl,No,No,3,0,Adapting (12-24),High,Atention(2-4),1,0.6359295725626452,Medium
66,72,45.85,3301.2,Month-to-month,Cash,Fiber,No,Yes,1,0,Veteran (+60),Medium,Stable(0-2),0,0.15862385414751048,Low
67,62,30.27,1876.74,Month-to-month,Cash,Dsl,No,Yes,2,0,Veteran (+60),Medium,Stable(0-2),0,0.14189295703268934,Low
68,40,63.91,2556.4,Month-to-month,Upi,Unknow,Yes,No,0,1,Loyal (36-60),Medium,Stable(0-2),0,0.17866787395627717,Low
69,53,81.49,4318.97,Month-to-month,Upi,Fiber,Yes,No,4,1,Loyal (36-60),High,Atention(2-4),1,0.7012412632581231,High
70,24,43.1,1034.4,Two year,Cash,Fiber,No,Yes,1,0,Stable (24-36),Medium,Stable(0-2),0,0.16516524031261157,Low
71,26,75.58,1965.08,Month-to-month,Upi,Dsl,Yes,Yes,2,0,Stable (24-36),High,Stable(0-2),0,0.1434032744683274,Low
72,60,100.79,6047.4,Two year,Cash,Dsl,No,Yes,0,0,Veteran (+60),High,Stable(0-2),0,0.2576399814111886,Low
73,41,45.71,1874.11,One year,Cash,Fiber,No,No,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.1647876779780799,Low
74,29,78.03,2262.87,One year,Cash,Dsl,Yes,No,3,0,Stable (24-36),High,Atention(2-4),0,0.17723023214810005,Low
75,15,53.93,808.95,One year,Credit,Dsl,No,No,4,0,Adapting (12-24),Medium,Atention(2-4),0,0.22324122690958229,Low
76,45,72.98,3284.1,One year,Upi,Fiber,No,Yes,2,0,Loyal (36-60),High,Stable(0-2),0,0.15638570786466172,Low
77,65,86.69,5634.85,Month-to-month,Credit,Dsl,No,No,0,1,Veteran (+60),High,Stable(0-2),1,0.7060441327000254,High
78,71,55.04,3907.84,Month-to-month,Debit,Fiber,Yes,No,2,0,Veteran (+60),Medium,Stable(0-2),0,0.11039562174570552,Low
79,9,119.45,1075.05,Month-to-month,Debit,Fiber,Yes,No,1,0,New (0-12),High,Stable(0-2),0,0.19030420962489542,Low
80,1,76.38,76.38,Month-to-month,Cash,Fiber,No,Yes,1,1,New (0-12),High,Stable(0-2),1,0.6594228229629407,Medium
81,8,102.45,819.6,Month-to-month,Credit,Fiber,Yes,Yes,1,1,New (0-12),High,Stable(0-2),0,0.2746793102665477,Low
82,63,92.51,5828.13,Month-to-month,Cash,Unknow,Yes,No,1,0,Veteran (+60),High,Stable(0-2),0,0.19897836337217611,Low
83,11,105.28,1158.08,Month-to-month,Cash,Fiber,No,Yes,5,1,New (0-12),High,Critic(4+),1,0.856875621885672,High
84,8,37.38,299.04,Month-to-month,Cash,Unknow,Yes,Yes,2,1,New (0-12),Medium,Stable(0-2),0,0.2489260783325155,Low
85,35,42.26,1479.1,Two year,Cash,Fiber,No,No,1,0,Stable (24-36),Medium,Stable(0-2),0,0.19631004917472974,Low
86,35,68.74,2405.9,One year,Cash,Unknow,No,No,0,0,Stable (24-36),Medium,Stable(0-2),0,0.18138888680762372,Low
87,33,105.23,3472.59,One year,Debit,Fiber,No,No,4,1,Stable (24-36),High,Atention(2-4),1,0.8302720358481976,High
88,5,39.76,198.8,Month-to-month,Upi,Dsl,Yes,No,3,1,New (0-12),Medium,Atention(2-4),1,0.8656510878171007,High
89,41,117.11,4801.51,Month-to-month,Upi,Dsl,Yes,Yes,0,0,Loyal (36-60),High,Stable(0-2),0,0.25403647814510405,Low
90,28,32.76,917.28,Month-to-month,Upi,Unknow,No,No,0,0,Stable (24-36),Medium,Stable(0-2),0,0.13594800300888743,Low
91,7,37.51,262.57,Month-to-month,Debit,Dsl,Yes,Yes,2,0,New (0-12),Medium,Stable(0-2),0,0.19238977337506658,Low
92,72,36.72,2643.84,Month-to-month,Credit,Fiber,No,No,1,0,Veteran (+60),Medium,Stable(0-2),0,0.1679164733564449,Low
93,12,78.6,943.2,One year,Debit,Dsl,No,No,0,0,Adapting (12-24),High,Stable(0-2),0,0.12125862156245021,Low
94,34,111.75,3799.5,One year,Debit,Fiber,No,No,1,0,Stable (24-36),High,Stable(0-2),0,0.22244672469525573,Low
95,33,45.51,1501.83,Month-to-month,Credit,Fiber,No,No,3,1,Stable (24-36),Medium,Atention(2-4),1,0.6828319694039057,Medium
96,48,75.3,3614.4,Two year,Cash,Dsl,Yes,No,2,0,Loyal (36-60),High,Stable(0-2),0,0.12305693751757789,Low
97,23,37.58,864.34,One year,Cash,Fiber,No,No,2,0,Adapting (12-24),Medium,Stable(0-2),0,0.1290768186719127,Low
98,62,83.11,5152.82,One year,Cash,Dsl,No,No,1,0,Veteran (+60),High,Stable(0-2),0,0.16381334765822483,Low
99,37,32.32,1195.84,Month-to-month,Credit,Dsl,No,No,2,0,Loyal (36-60),Medium,Stable(0-2),0,0.1718026490136997,Low
100,44,69.13,3041.72,Two year,Debit,Dsl,No,No,0,1,Loyal (36-60),Medium,Stable(0-2),0,0.1858049869528925,Low
101,35,85.52,2993.2,Month-to-month,Debit,Dsl,No,No,3,1,Stable (24-36),High,Atention(2-4),1,0.8789650267331609,High
102,65,77.91,5064.15,Month-to-month,Credit,Fiber,No,No,1,1,Veteran (+60),High,Stable(0-2),0,0.21943727029517082,Low
103,47,34.0,1598.0,One year,Cash,Dsl,No,No,1,1,Loyal (36-60),Medium,Stable(0-2),0,0.1554175112158305,Low
104,3,36.14,108.42,Month-to-month,Credit,Dsl,No,Yes,1,1,New (0-12),Medium,Stable(0-2),1,0.6627371231939333,Medium
105,1,87.14,87.14,Two year,Debit,Dsl,Yes,No,1,1,New (0-12),High,Stable(0-2),1,0.8746389570171534,High
106,5,100.89,504.45,Two year,Upi,Fiber,No,Yes,1,1,New (0-12),High,Stable(0-2),1,0.8574492680559477,High
107,14,110.81,1551.34,Month-to-month,Upi,Dsl,No,Yes,2,1,Adapting (12-24),High,Stable(0-2),1,0.7332080261047059,High
108,27,101.36,2736.72,Month-to-month,Upi,Dsl,No,Yes,0,1,Stable (24-36),High,Stable(0-2),1,0.7243888937210411,High
109,9,117.39,1056.51,Month-to-month,Cash,Fiber,No,No,1,1,New (0-12),High,Stable(0-2),1,0.7166771363316775,High
110,15,60.83,912.45,Month-to-month,Cash,Dsl,No,Yes,2,0,Adapting (12-24),Medium,Stable(0-2),0,0.14780216488997305,Low
111,42,53.12,2231.04,Month-to-month,Cash,Unknow,No,No,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.15292470575617712,Low
112,51,22.82,1163.82,Month-to-month,Cash,Dsl,No,Yes,0,0,Loyal (36-60),Medium,Stable(0-2),0,0.15152445240138807,Low
113,63,64.99,4094.37,Month-to-month,Credit,Fiber,Yes,No,3,0,Veteran (+60),Medium,Atention(2-4),0,0.18532024655393992,Low
114,52,85.14,4427.28,One year,Upi,Fiber,No,No,2,0,Loyal (36-60),High,Stable(0-2),0,0.21730199215534285,Low
115,4,101.54,406.16,Month-to-month,Upi,Dsl,No,No,2,1,New (0-12),High,Stable(0-2),1,0.9004905441015221,High
116,23,46.75,1075.25,Two year,Cash,Fiber,Yes,No,3,0,Adapting (12-24),Medium,Atention(2-4),0,0.14422608009600452,Low
117,15,71.36,1070.4,Month-to-month,Cash,Unknow,No,Yes,0,0,Adapting (12-24),High,Stable(0-2),0,0.2650749371899464,Low
118,43,86.2,3706.6,Month-to-month,Credit,Fiber,Yes,No,2,0,Loyal (36-60),High,Stable(0-2),0,0.25027895789611015,Low
119,29,75.16,2179.64,One year,Credit,Dsl,No,No,0,1,Stable (24-36),High,Stable(0-2),0,0.2155984617007519,Low
120,36,47.4,1706.4,Month-to-month,Credit,Dsl,No,No,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.1593856646124306,Low
121,13,99.63,1295.19,One year,Upi,Fiber,No,No,1,0,Adapting (12-24),High,Stable(0-2),0,0.23059907703102064,Low
122,32,37.34,1194.88,One year,Upi,Dsl,No,No,0,0,Stable (24-36),Medium,Stable(0-2),0,0.14665998867658503,Low
123,71,110.5,7657.0875,One year,Upi,Unknow,Yes,Yes,0,0,Veteran (+60),High,Stable(0-2),0,0.15142552981986598,Low
124,59,115.26,6800.34,Month-to-month,Upi,Unknow,No,Yes,0,1,Loyal (36-60),High,Stable(0-2),1,0.7223069937825654,High
125,28,56.56,1583.68,One year,Credit,Unknow,Yes,No,2,0,Stable (24-36),Medium,Stable(0-2),0,0.12736897419669346,Low
126,66,57.62,3802.92,One year,Cash,Fiber,Yes,No,4,0,Veteran (+60),Medium,Atention(2-4),0,0.08818874879050055,Low
127,42,94.33,3961.86,Month-to-month,Upi,Fiber,Yes,Yes,0,0,Loyal (36-60),High,Stable(0-2),0,0.27048224759056216,Low
128,45,65.63,2953.35,One year,Credit,Fiber,No,No,3,0,Loyal (36-60),Medium,Atention(2-4),0,0.26566733935596676,Low
129,62,22.86,1417.32,Month-to-month,Cash,Fiber,No,No,0,0,Veteran (+60),Medium,Stable(0-2),0,0.1582093002158421,Low
130,57,111.99,6383.43,Month-to-month,Debit,Dsl,Yes,No,0,1,Loyal (36-60),High,Stable(0-2),0,0.2565259764297919,Low
131,6,63.08,378.48,Month-to-month,Cash,Dsl,No,Yes,0,0,New (0-12),Medium,Stable(0-2),0,0.16859784417279552,Low
132,28,40.35,1129.8,Month-to-month,Debit,Fiber,No,No,1,0,Stable (24-36),Medium,Stable(0-2),0,0.15290673423427684,Low
133,28,75.57,2115.96,Month-to-month,Debit,Dsl,Yes,Yes,3,0,Stable (24-36),High,Atention(2-4),0,0.28538688827742753,Low
134,44,41.89,1843.16,Month-to-month,Upi,Dsl,Yes,No,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.14115306789629148,Low
135,30,40.6,1218.0,Month-to-month,Credit,Dsl,No,Yes,4,1,Stable (24-36),Medium,Atention(2-4),1,0.7258714474013548,High
136,62,74.57,4623.34,Month-to-month,Cash,Unknow,Yes,Yes,1,0,Veteran (+60),High,Stable(0-2),0,0.15987107800697042,Low
137,62,59.1,3664.2,Two year,Debit,Fiber,Yes,No,1,0,Veteran (+60),Medium,Stable(0-2),0,0.11550464293658531,Low
138,1,77.3,77.3,Month-to-month,Credit,Fiber,No,Yes,1,1,New (0-12),High,Stable(0-2),1,0.6298779517385475,Medium
139,27,119.68,3231.36,Two year,Cash,Fiber,Yes,Yes,1,0,Stable (24-36),High,Stable(0-2),0,0.25458088368929227,Low
140,62,105.9,6565.8,Month-to-month,Upi,Dsl,No,Yes,1,1,Veteran (+60),High,Stable(0-2),1,0.7466869829185495,High
141,3,20.77,62.31,One year,Cash,Fiber,No,Yes,1,0,New (0-12),Medium,Stable(0-2),0,0.17696561247496806,Low
142,70,25.06,1754.2,Month-to-month,Upi,Dsl,No,No,0,0,Veteran (+60),Medium,Stable(0-2),0,0.10917002332033836,Low
143,72,81.01,5832.72,Month-to-month,Cash,Dsl,Yes,No,0,0,Veteran (+60),High,Stable(0-2),0,0.2551578611206689,Low
144,27,82.63,2231.01,Two year,Cash,Unknow,Yes,Yes,0,0,Stable (24-36),High,Stable(0-2),0,0.1632499121592918,Low
145,9,107.82,970.38,One year,Debit,Dsl,Yes,No,2,0,New (0-12),High,Stable(0-2),0,0.1415704972880375,Low
146,62,82.91,5140.42,One year,Debit,Dsl,Yes,No,2,0,Veteran (+60),High,Stable(0-2),0,0.14157628604506872,Low
147,37,42.77,1582.49,Month-to-month,Debit,Dsl,No,No,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.1526492045362369,Low
148,51,66.85,3409.35,One year,Upi,Fiber,No,No,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.14495247458224084,Low
149,44,100.9,4439.6,Month-to-month,Cash,Fiber,No,Yes,0,1,Loyal (36-60),High,Stable(0-2),1,0.7176241736139661,High
150,24,112.28,2694.72,Month-to-month,Cash,Unknow,No,Yes,1,1,Stable (24-36),High,Stable(0-2),1,0.7593582651802674,High
151,59,43.69,2577.71,Month-to-month,Upi,Fiber,No,No,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.15912898134848563,Low
152,32,73.96,2366.72,Month-to-month,Cash,Fiber,No,Yes,2,0,Stable (24-36),High,Stable(0-2),0,0.17731719255307535,Low
153,52,35.89,1866.28,Month-to-month,Debit,Fiber,No,No,2,0,Loyal (36-60),Medium,Stable(0-2),0,0.151764450408424,Low
154,62,69.7,4321.4,One year,Upi,Dsl,No,Yes,0,0,Veteran (+60),Medium,Stable(0-2),0,0.15790622242730726,Low
155,58,29.01,1682.58,Two year,Upi,Fiber,No,No,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.1599740231368558,Low
156,52,114.17,5936.84,Month-to-month,Cash,Dsl,No,No,0,1,Loyal (36-60),High,Stable(0-2),1,0.7289833186603019,High
157,12,83.81,1005.72,Two year,Debit,Unknow,No,No,1,0,Adapting (12-24),High,Stable(0-2),0,0.25568156849433277,Low
158,39,105.42,4111.38,One year,Cash,Fiber,Yes,Yes,2,0,Loyal (36-60),High,Stable(0-2),0,0.20570780085400175,Low
159,2,119.83,239.66,Month-to-month,Cash,Fiber,Yes,Yes,3,1,New (0-12),High,Atention(2-4),1,0.8779520232297824,High
160,3,38.27,114.81,Month-to-month,Upi,Fiber,No,No,3,1,New (0-12),Medium,Atention(2-4),1,0.867009137720814,High
161,56,89.41,5006.96,Month-to-month,Upi,Fiber,No,No,1,1,Loyal (36-60),High,Stable(0-2),1,0.7241192752522196,High
162,59,108.7,6413.3,Month-to-month,Credit,Fiber,No,Yes,0,1,Loyal (36-60),High,Stable(0-2),1,0.7196955986246109,High
163,2,77.59,155.18,Two year,Cash,Dsl,Yes,Yes,2,0,New (0-12),High,Stable(0-2),0,0.21948943633874207,Low
164,2,83.97,167.94,Month-to-month,Credit,Dsl,Yes,No,1,1,New (0-12),High,Stable(0-2),1,0.9310132269126699,High
165,54,60.77,3281.58,Month-to-month,Cash,Dsl,No,No,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.1443165505845999,Low
166,1,87.48,87.48,Month-to-month,Credit,Dsl,Yes,Yes,1,1,New (0-12),High,Stable(0-2),1,0.9363471965119883,High
167,19,59.56,1131.64,Month-to-month,Cash,Fiber,No,No,1,0,Adapting (12-24),Medium,Stable(0-2),0,0.12680478115445684,Low
168,2,67.66,135.32,Month-to-month,Upi,Fiber,Yes,No,2,0,New (0-12),Medium,Stable(0-2),0,0.32179986419946993,Medium
169,53,30.29,1605.37,Month-to-month,Upi,Dsl,Yes,No,1,1,Loyal (36-60),Medium,Stable(0-2),0,0.1327852907335121,Low
170,44,20.78,914.32,Two year,Credit,Fiber,Yes,No,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.18244939011710676,Low
171,32,25.52,816.64,Month-to-month,Credit,Fiber,Yes,Yes,1,0,Stable (24-36),Medium,Stable(0-2),0,0.17263887203778164,Low
172,70,39.25,2747.5,Month-to-month,Credit,Dsl,No,No,1,0,Veteran (+60),Medium,Stable(0-2),0,0.15026319210747185,Low
173,32,65.66,2101.12,Two year,Debit,Fiber,No,Yes,1,0,Stable (24-36),Medium,Stable(0-2),0,0.1668417339251269,Low
174,68,22.1,1502.8,Month-to-month,Credit,Fiber,Yes,Yes,2,0,Veteran (+60),Medium,Stable(0-2),0,0.13809329852722652,Low
175,55,35.59,1957.45,Month-to-month,Credit,Fiber,No,Yes,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.15737804293319282,Low
176,56,98.14,5495.84,Month-to-month,Credit,Dsl,No,No,1,0,Loyal (36-60),High,Stable(0-2),1,0.7297639258971881,High
177,17,96.22,1635.74,Month-to-month,Debit,Fiber,Yes,Yes,2,0,Adapting (12-24),High,Stable(0-2),0,0.21551706691058595,Low
178,38,98.97,3760.86,Month-to-month,Debit,Fiber,No,No,2,1,Loyal (36-60),High,Stable(0-2),1,0.7298217861967836,High
179,24,112.15,2691.6,Month-to-month,Cash,Unknow,No,No,1,1,Stable (24-36),High,Stable(0-2),1,0.7581040171212404,High
180,69,31.91,2201.79,Month-to-month,Upi,Fiber,No,No,1,0,Veteran (+60),Medium,Stable(0-2),0,0.12625508808520028,Low
181,70,36.31,2541.7,One year,Credit,Fiber,Yes,Yes,3,0,Veteran (+60),Medium,Atention(2-4),0,0.1650557701286091,Low
182,11,53.36,586.96,Month-to-month,Credit,Dsl,No,No,1,0,New (0-12),Medium,Stable(0-2),0,0.15321507131398643,Low
183,16,111.51,1784.16,Month-to-month,Upi,Fiber,Yes,No,3,0,Adapting (12-24),High,Atention(2-4),1,0.8414500335933737,High
184,59,97.55,5755.45,Two year,Cash,Dsl,No,No,0,0,Loyal (36-60),High,Stable(0-2),0,0.28526469539172716,Low
185,70,52.41,3668.7,One year,Cash,Dsl,Yes,No,1,0,Veteran (+60),Medium,Stable(0-2),0,0.11556948347173439,Low
186,3,28.76,86.28,One year,Credit,Fiber,No,Yes,0,0,New (0-12),Medium,Stable(0-2),0,0.21001182791818426,Low
187,20,81.64,1632.8,Month-to-month,Upi,Dsl,No,No,2,1,Adapting (12-24),High,Stable(0-2),1,0.6823062530054894,Medium
188,59,45.68,2695.12,Month-to-month,Credit,Dsl,Yes,Yes,1,0,Loyal (36-60),Medium,Stable(0-2),0,0.15617613668093178,Low
189,36,73.12,2632.32,Month-to-month,Credit,Dsl,No,Yes,1,0,Loyal (36-60),High,Stable(0-2),0,0.23454588245073177,Low
190,19,114.18,2169.42,One year,Credit,Fiber,Yes,Yes,3,0,Adapting (12-24),High,Atention(2-4),0,0.25223318972950315,Low
191,67,77.26,5176.42,Month-to-month,Upi,Fiber,No,No,0,0,Veteran (+60),High,Stable(0-2),0,0.19589141801219428,Low
192,19,112.38,2135.22,One year,Upi,Unknow,No,No,2,0,Adapting (12-24),High,Stable(0-2),0,0.1825603938001871,Low
193,20,59.3,1186.0,Two year,Cash,Dsl,No,Yes,0,0,Adapting (12-24),Medium,Stable(0-2),0,0.1287501240061611,Low
194,71,83.34,5917.14,One year,Upi,Fiber,No,Yes,2,0,Veteran (+60),High,Stable(0-2),0,0.1537276779212242,Low
195,52,109.39,5688.28,One year,Upi,Dsl,No,No,0,0,Loyal (36-60),High,Stable(0-2),0,0.22558384457692868,Low
196,33,78.8,2600.4,Month-to-month,Upi,Fiber,No,Yes,4,1,Stable (24-36),High,Atention(2-4),1,0.7596220563973595,High
197,40,81.49,3259.6,Month-to-month,Debit,Dsl,Yes,Yes,1,0,Loyal (36-60),High,Stable(0-2),0,0.2772174454921834,Low
